PDF,Type,Title,Authors,Mentor TA
CS224R_Final_Report__1_1.pdf,Default,Learning Obstacle-Avoiding Drone Navigation with PPO and SAC,Claire Du,Yash Kankariya
CS224R_Final_Project (1).pdf,Custom,Analysis of RL Architectures for Delayed Rewards in Super Smash Brothers Melee,"Danica Xiong, Tony Xia",Jensen Gao
CS224R_Final_Report____Akaash_Kolluri___Sally_Zhu-2.pdf,Custom,Training an Expert Negotiator: RL-Based Fine-Tuning of LLMs to Improve Social Negotiation Skills,"Akaash Kolluri, Sally Zhu",Fengyu Li
CS_224R_Project_Report (1).pdf,Custom,Recipes for Language Model Reasoning through Reverse Curriculum Reinforcement Learning,"Jack Hsieh, Dillon Nguyen, Ethan Zhang",Fengyu Li
Your_Project_Title1.pdf,Custom,IaC-DPO: Improving Infrastructure-as-Code Generation with DPO-Refined Controller Models,"Sophia Zhang, Aditya Gupta",Bassem Akoush
CS_224R_Final_Project_Report__1_.pdf,Custom,Reinforcement Learning for Practical Wildfire Suppression with UAV Agents,"Amy Guan, Emily Tianshi, Ryne Reger",Xingze Dai
Self_Improvement_variants_on_DPO.pdf,Default,Self-Improvement variants on DPO,Yiyang Hao,Sri Jaladi
CS224R_Final_Report (1)1.pdf,Custom,BountyBench: The Design of Environments and Rewards for Cybersecurity Agents,"Andy Zhang, Riya Dulepet",Joy He-Yueya
CS224r_Final_Report__1_ (5).pdf,Custom,Reward Modeling and Policy Optimization for Volleyball Rally Decision-Making,"Rishi Alluri, Will Furlow",Haoyi Duan
CS224R_Final_Project.pdf,Default,"Many Minds, One Goal: Enhancing DPO in a Multi-Agent Framework",Yasmine Mabene,Sergio Charles
CS224R_Project (1).pdf,Custom,MARIO: Reinforcement Learning on Image Observations,"Nika Zahedi, Nils Kuhn, Evelyn Yee",Pulkit Goel
CS224r__report.pdf,Custom,Autonomous Drone Navigation for First Response,"Victor Greenberg, Carlos Hernandez",Marcel Torne
CS224R_Final_Report (13).pdf,Custom,Learning from Experts: Three Stage Training for Multi-Action Physics-Based Control,"Andi Xu, Eric Chen",Sirui Chen
final_project_report_AtharvaAalok.pdf,Custom,Robust Aerodynamic Shape Optimization on NIGnets using Deep Reinforcement Learning,Atharva Aalok,Sergio Charles
CS_224R_Final_Project__3_.pdf,Default,Default Project: Supervised Fine Tuning of Qwen2.5-0.5B on the Countdown Dataset,"Anushree Aggarwal, Saif Moolji, Bryce Tiglon",Pulkit Goel
Your_Project_Title (1).pdf,Custom,Learning CAD Program Generation using Reinforcement Learning,George Nakayama,Xingze Dai
CS224R_Final_Report (8).pdf,Custom,Neural Decoding of Heard Speech Using RL-tuned LLMs,"Ricky Rojas, Ramani Tyagi",Shirley Wu
CS224R_Final_Report (10)1.pdf,Custom,Sequential Reinforcement Learning on Economic Discourse for Real-Time,"Sarang Goel, Chirag Maheshwari",Sri Jaladi
CS224R__7_.pdf,Custom,Morphology-Aware Imitation Learning for Cross-Robot Generalization,Jermaine Zhao,Bassem Akoush
CS224r_Final_Project_Report (2)1.pdf,Custom,Exploration in a Reward Uncertain Environment,"Denis Liu, Victor Li",Anikait Singh
cs224rFinalProject.pdf,Custom,Bluffing with Precision: LLM-Guided Strategy and Opponent Modeling in Multi-Agent Poker,"Sara Kothari, Yanny Gao",Fengyu Li
CS224R_Final_Report__3_.pdf,Custom,PPO Reinforcement Learning for Pipetting Laboratory Automation,"Gurmenjit Kaur Bahia, Ashley Chen",Zhen Wu
Your_Project_Title__1_.pdf,Custom,Reward Densification For RL in Multi-hop Calculators,"Coco Xu, Jenny Chen, Yolanda Wang",Daniel Shin
CS224R_Project_Paper.pdf,Custom,Vision-Based Autonomous Landing through Imitation Learning,Mike Timmerman,Pulkit Goel
224r_final_report1.pdf,Default,Off-Policy Finetuning for LLM Math Reasoning,"Althea Hudson, Narvin Phouksouvath",Ashish Rao
CS224R_final_report (6)1.pdf,Custom,RL4KG-RAG: Reinforcement Learning for Knowledge Graph Optimization in Open-Domain QA,Banda Gayatri Srujana,Haoyi Duan
CS224R_Final_Report (18).pdf,Custom,Real-Time Edge Deployment of Vision and RL Policy on a Quadruped Robot,"Frances Raphael, Saron Samuel, Yohannes Aklilu",Jinny Chung
CS224R_Final_Paper (2).pdf,Custom,Epistemic Uncertainty Estimation for Human-in-the-Loop Reinforcement Learning,"Ngorli Paintsil, Natalie Greenfield",Annie Chen
rda-submission.pdf,Custom,ACT-RL: Efficient Fine-Tuning through Reinforcement Learning for Robotic Manipulation,"Rohan Sikand, Diego Stone, Andre Yeung",Haoyi Duan
CS224R_FINAL_PROJECT (1)1.pdf,Default,Adaptive Test-Time Inference Extensions for Fine-Tuned Instruction-Following Models,Diego Valdez Duran,Sri Jaladi
CS224R_Final_Report__Templated_.pdf,Custom,Test-Time Training for Efficient RL Sequence Modeling,"Alexander Waitz, Vrushank Gunjur, Kenny Dao",Sri Jaladi
CS224R_Project.pdf,Custom,Decision-Focused Offline Deep Reinforcement Learning for Healthcare Policy Optimization,"Praneet Bhoj, Ali Eshragh, Yuexing Li",Jubayer Ibn Hamid
CS224R_Final_Project__1_.pdf,Default,Exploratory Preference Optimization and Synthetic Dataset Generation for Preference Alignment,"Pranshu Chaturvedi, Parth Shroff",Anikait Singh
cs224r_project_final.pdf,Default,Mastering Mathematical Reasoning in Large Language Models via Self-Play and Reinforcement Learning,Fan Wang,Joy He-Yueya
CS_224R_Final_Report (6).pdf,Default,Improving Chain-of-Thought Reasoning in LLMs via Generative Reward Modeling,"Akhilesh Balasingam, Axel Wennstrom, Vishal Jain",Jinny Chung
FINAL1.pdf,Custom,Latent Observation Forecasting for Long-Horizon Imitation Learning,"Annmaria Antony, Rebecca Joseph, Mikul Rai",Jubayer Ibn Hamid
CS224R_Final_Report_FINAL1.pdf,Custom,Refining and Expanding the Self-Consistency Strategy,"Charlotte Nicks, Teddy Ganea, Eli Myers",Annie Chen
224r_project_final_report__1_.pdf,Custom,ARPO: Adaptive Reward-driven Prompt Optimization,"Arnav Singhvi, Shreyas Agarwal",Shirley Wu
CS_224R_Final_Project_Report (1).pdf,Custom,Towards a General Social Deduction Reinforcement Learning Model,"Isaac Zhao, Wesley Tjangnaka",Fengyu Li
CS224R_Final_Report__4_.pdf,Custom,Exploring Video Generation for Robot Learning,"Ashna Khetan, Daphne Liu, Poonam Sahoo",Jensen Gao
224Final__1_.pdf,Default,Cooperative Self-Improvement: Hint-Augmented Self-Play for Math Learning,"Bar Weiner, Aadi Nashikkar",Sri Jaladi
cs224r__13_.pdf,Custom,Comparative Performance and Stability Analysis of PPO and DDPG Agents on Inverse Design of Meta-materials for Demultiplexing,"Selin Ertan, Matthew Villescas",Sergio Charles
CS_224R_Final_Project_Report1.pdf,Custom,Swing For the Fences: Deep Reinforcement Learning for Batting Practice,"Chase Joyner, Mack Smith",Yash Kankariya
CS224R_Final_Project__1_1.pdf,Default,"TSCS: A Two-Staged, Curriculum-Based Synthetic Data Approach to Improving Countdown Performance",Ayush Alag,Jubayer Ibn Hamid
CS224R_Final_Project_Report (1).pdf,Custom,Smart Strategy: Dynamic Ordering for Multi-Agent RL Updates,"Michael Zhang, Karthik Vetrivel, Arjun Jain",Marcel Torne
CS_224R_Final_Paper_2.pdf,Default,Leveraging RL to Improve LLM Response Generation,Ethan Hellman,Haoyi Duan
CS224R_Final_Report (14).pdf,Default,What’s On My Mind: Modelling Latent Human Thoughts via Reasoning Traces,Agam Bhatia,Xingze Dai
ChokoZero.pdf,Custom,ChokoZero,"Eugene Francisco, Bodo Wirth, Naveen Kannan",Annie Chen
CS224R_Final_Paper1.pdf,Default,RL Fine-Tuning of Language Models,"June Zheng, Yihan Zhao, Zixin Li",Ashish Rao
CS224R_DeepRL_2025_Project__4_.pdf,Custom,MEMBOT: Memory-Based Robot in Intermittent POMDP,"Eyan Noronha, Yousef (Youzhi) Liang",Sergio Charles
CS224R_Project_Report.pdf,Custom,Verbal Reinforcement Learning for Multi-Agent Systems,"Aakriti Lakshmanan, Rohan Davidi, Sathvik NaLLaMalli",Shirley Wu
cs_224r_final_report__1_.pdf,Default,Fine-Dining with Fine-Tuning: Constraint-Driven Recipe Bots,"Aryan Sahai, Marcus Lintott, Regina Sevilla",Jubayer Ibn Hamid
CS224R_Project_Final_Report.pdf,Default,Navigating the Pareto Frontier: Multi-Objective Optimization for Fine-Tuning Language Models,Idil Defne Cekin,Sri Jaladi
224r_report.pdf,Default,"SFT, DPO & RLOO on UltraFeedback & Countdown with Off-Policy Replay",Billy Gao,Haoyi Duan
CS224R_Project_Milestone__5_.pdf,Custom,Sim2Real: Simulation to Reality Transfer for Autonomous Driving World Models,"Jack Liu, Ryan Catullo, Mac Ya, Sunny Yu",Haoyi Duan
CS224R_Final_Report__2_1.pdf,Custom,On-the-Fly Adaptation for Out-of-Distribution Robustness in Reinforcement Learning,"Emily Liu, Flora Yuan",Annie Chen
224R_Final_Report (2).pdf,Custom,Forest or Field: It Drone Matter,"Sarah Barragan, Karan Bhasin, Sukrut Oak",Fengyu Li
CS224R_Final_Report__1_ (3).pdf,Custom,Human Chess: A Novel Searchless RL-based Chess Agent Capable of Multi-ELO Human-Like Play,"Prerit Choudhary, Rikhil Vagadia, Ankush Dhawan",Pulkit Goel
CS224R_Final_Project_Report1.pdf,Custom,Step-wise Policy for Rare-tool Knowledge (SPaRK),"Gabriel Bo, Koa Chang, Justin Gu",Pulkit Goel
CS224R___Final_Report.pdf,Default,Learning to Think: Integrating Test-Time Compute into RL Fine-Tuning,"André Natal, Yacine Dolivet, Thomas Huang",Sirui Chen
CS224R_Final_Report (15).pdf,Custom,Reinforcement Learning for Covered Path Planning on Robot Vacuum,"Ngoc Vo, Yiran Fan, Siqi Ma",Zhen Wu
CS224R_Project_Report (2).pdf,Default,Multi-Objective Exploration: A Novel Reinforcement Learning Method to Solve Instruction Following and Mathematical Reasoning Problems,Hugo Nathanael Yuwono,Sergio Charles
CS224R_Final_Report (11)1.pdf,Default,"Train smarter LLMs: balancing Data Quality, Fine-Tuning and Reinforcement Learning","Gabriel Mesquida Masana, François Chesnay",Ashish Rao
cs224r_final_report_2025 (2).pdf,Default,Improving Reasoning with Multi-Agent Systems,Benjamin Marks,Prateek Varshney
cs224rfinalprojectreport.pdf,Custom,Training Super Smash Bros. Melee Agents,"Matthew Lee, William Hu, Samuel Do",Daniel Shin
224R_Final_Project_Report__2_.pdf,Custom,Reinforcement Tuning Open Source LLMs for Kernel Generation,"Aksh Garg, Jeffrey Heo, Megan Mou",Fengyu Li
CS_224R_Final_Project_Report12.pdf,Custom,Towards a General Social Deduction Reinforcement Learning Model,"Isaac Zhao, Wesley Tjangnaka",Fengyu Li
CS224R_Final_Report__5_.pdf,Default,Precise RLAIF: Improving Instruction Following with Sentence-Level AI Feedback,Marcelo Peña,Jinny Chung
CS224R_Project_Final_Report (2).pdf,Default,Improving LLM Mathematical Reasoning Capabilities Using External Tools,"Jack Albright, Sheden Andemicael",Anikait Singh
CS_224R_Final_Project.pdf,Custom,Investigating Reward Hacking When Using Vision-Language Models as Reward Models (VLM-RMs),"Kai Fronsdal, Emma Sun, Zoe Quake",Marcel Torne
report.pdf,Custom,Granularity in Reward Shaping for Automated Theorem Proving,Marcelo Sena,Annie Chen
CS224R_Final_Report (23).pdf,Custom,Beyond Single Rewards: Multi-Objective Scalarization in Few-Shot Preference Learning,Gabriel SantaCruz,Fengyu Li
CS_244r_Final_Paper__1_.pdf,Custom,Graph-based Stock Market RL Agent,Nevin Aresh,Prateek Varshney
cs224r_Final_Project_Report (1)1.pdf,Custom,Fine-Tuning Vision-Language Model with Reinforcement Learning for Visual Question Answering,Dayoung Kim,Marcel Torne
CS224R_Project_Final_Report1.pdf,Default,RL Fine-Tuning of Large Language Models,"Gerardus de Bruijn, Nareauphol Liu, Dev Jayram",Ashish Rao
CS224R_Final_Paper (3).pdf,Default,Synthetic Data Augmentation for LLM Training,"Ben Gonzalez-Maldonado, Diego Padilla, Emily Park",Jinny Chung
CS224R_Project_Report1.pdf,Custom,A Truly Hollow Knight: Resource Constrained Visually Dense Boss Fights,Anthony Maltsev,Pulkit Goel
cs224r_final_project_report12.pdf,Default,Fine-Tuning of Large Language Models using Retrospective Exploration with Critic-Augmented Progress,"Caroline Van, Natalie Wang",Sirui Chen
CS_224R_Final_Project__Debate_for_Multiagent_Large_Language_Model_Tuning__1_.pdf,Default,Debate for Multiagent Large Language Model Tuning,Andrew Wang,Pulkit Goel
CS224R_final_report__4_ (1).pdf,Custom,RL for Autonomous Drone Navigation,"Guilherme Bonfim, Matteo Tucci, Sumedha Kethini",Marcel Torne
CS224R_Final_Report (2).pdf,Custom,Towards Size-Invariant Policy Learning in Grid Environments via Curriculum-Guided Transfer,"Yiling Huang, Wei Liu",Haoyi Duan

CS224R_final_report (5)12.pdf,Custom,Enhancing LLM Reasoning on External Knowledge,Claire Tang,Sergio Charles
