PDF,Type,Title,Authors,Mentor TA
CS_224R_Project_Final_Report (1).pdf,Custom,RL Methods for Mitigating Catastrophic Forgetting in Continual SLM Translation,"Abhijit Devalapura, Riley Carlson",Ashish Rao
CS_224R_Final_Report__3_ (1).pdf,Custom,In-context Search: Efficiency Boost or Fundamentally New Capability?,"Angel Raychev, Yalcin Tur, Mihajlo Stojkovic",Shirley Wu
final.pdf,Custom,Learning New Biophysical Controls in Protein Language Models via Supervised and Preference-Based Fine-Tuning,Nahum Maru,Andy Tang
CS224R_Report-4.pdf,Custom,Data-Guided Noise (DGN) for Online Exploration,Alec Lessing,Yash Kankariya
CS224R_Final_Report-2.pdf,Custom,To N Equals Infinity and Beyond: Generalization Trends in Post-Trained LLMs,Sudharsan Sundar,Annie Chen
submit1.pdf,Custom,Personalized Pedagogically Aligned English Learning Chatbot via Preference Optimization and Curiosity,"Ziqi Shu, Samantha Liu",Anikait Singh
CS224R_Final_Report__7_.pdf,Custom,Bluff and Learn: Comparing CFR and NFSP in Liar Bar,"Cici Hou, Louise Li, Phillip Miao",Jubayer Ibn Hamid
CS224R_Project_Proposal_Template__6_.pdf,Default,CountUP: Improving LLM Reasoning with Reinforcement Learning and Synthetic Data,"Bruno de Moraes Dumont, Ethan Goodhart",Shirley Wu
CS224R_Final_Project_Report (2).pdf,Default,Improving LLM Instruction-Following Capabilities with Multi-objective Reinforcement Learning,"An Doan, Felicity Huang, Linda Liu",Xingze Dai
CS224R_Final_Report (8)1.pdf,Default,Instruction Following via Self-Revision: Fine-Tuning Qwen with Teacher Feedback and Staged Curriculum,"Landon Choy, Tracy Li",Fengyu Li
Final_project.pdf,Default,Reinforcement Learning Fine-Tuning with Calculator Tool Integration for Mathematical Reasoning,Yahaya Ndutu,Prateek Varshney
Biomedical_Reasoning_Evaluation__CS224R___2_.pdf,Custom,Disentangling Knowledge and Reasoning in Medical,"Rahul Thapa, James Zou",Shirley Wu
CS224R_Final_Report (17).pdf,Custom,Reinforcement Learning for Protein Motif Scaffolding Design,"Jordan Cahoon, Yaowei Deng",Sergio Charles
